question_id,hybrid_SE,token_entropy,seq_len,curv_std_w016,curv_std_full,curv_raw_w016,split
0,-0.0,2.631127,12.0,1.9116268,1.7745312,1.5737247,test
1,0.325083,3.5718935,7.0,1.8565917,1.7592951,1.5249952,train
2,-0.0,3.978003,7.0,1.8827904,1.7642096,1.5501189,test
3,0.325083,2.8043685,13.0,1.9104791,1.7812549,1.5979782,train
4,0.801819,2.5954144,13.0,1.9299603,1.7897446,1.5809808,train
5,-0.0,3.242806,10.0,1.8981398,1.7904675,1.5634383,train
6,-0.0,2.502233,12.0,1.9359335,1.7932746,1.6413838,test
7,1.227529,1.9191337,21.0,1.9601923,1.8164378,1.6368138,test
8,-0.0,2.640515,12.0,1.943202,1.802657,1.5535942,train
9,0.950271,2.6638448,10.0,1.8999805,1.7735535,1.5637928,test
10,-0.0,2.7625115,12.0,1.9403518,1.7943622,1.5559818,train
11,0.639032,2.3949766,11.0,1.9576596,1.808082,1.593656,train
12,1.227529,1.976972,16.0,1.918836,1.7843641,1.6539241,test
13,0.639032,2.85466,12.0,1.9109548,1.7850314,1.5745478,train
14,0.639032,1.7141396,20.0,1.9230393,1.7826481,1.6188745,test
15,0.801819,2.5083072,15.0,1.9254342,1.7852437,1.6553335,train
16,-0.0,2.5286057,14.0,1.9045972,1.7851413,1.5807136,train
17,1.19355,2.581879,14.0,1.9412098,1.7892727,1.5925426,train
18,1.609438,3.3868637,8.0,1.8979346,1.7748287,1.6037946,train
19,-0.0,2.9398897,12.0,1.9313418,1.7825574,1.5545439,train
20,-0.0,3.0875716,11.0,1.9115902,1.8013515,1.6059672,test
21,1.19355,2.557627,29.0,1.9272723,1.7822641,1.5784992,train
22,0.639032,2.040569,15.0,1.898387,1.7711394,1.631344,train
23,2.163956,1.725951,23.0,1.938706,1.8012238,1.6741863,train
24,0.940448,1.4137815,18.0,1.9338021,1.8018625,1.6020929,train
25,-0.0,2.8631136,11.0,1.9068428,1.7694165,1.6236693,test
26,0.325083,2.4715645,15.0,1.9224224,1.7956918,1.6281861,train
27,-0.0,2.957143,12.0,1.8996744,1.7834274,1.5877527,train
28,0.325083,1.8077615,18.0,1.9123739,1.8005527,1.6248913,test
29,-0.0,1.459625,21.0,1.9227241,1.7958758,1.6597258,test
30,0.639032,2.5921893,15.0,1.921689,1.7871941,1.6046766,test
31,-0.0,1.8912673,13.0,1.9429226,1.8127222,1.6523966,train
32,0.801819,4.3186955,8.0,1.889328,1.7699844,1.5752468,train
33,1.168282,3.2055755,10.0,1.9072813,1.7775718,1.541266,train
34,1.227529,3.1436691,13.0,1.9027796,1.7862257,1.579513,train
35,1.359237,3.0427575,11.0,1.9260021,1.7896429,1.582345,test
36,0.325083,4.095778,10.0,1.9203357,1.7808,1.6087323,test
37,-0.0,3.4754882,8.0,1.8852829,1.7772427,1.58527,train
38,-0.0,2.9346302,9.0,1.8930696,1.7808722,1.5298066,test
39,0.639032,3.014328,10.0,1.9035736,1.7845889,1.5820204,train
40,-0.0,3.3748817,15.0,1.9398838,1.7954379,1.6026506,train
41,0.639032,2.6559765,8.0,1.9036708,1.7692213,1.5908489,train
42,0.897946,3.712006,9.0,1.8962139,1.7680466,1.5967592,train
43,-0.0,2.9269254,10.0,1.9140717,1.7904457,1.5987773,train
44,1.227529,3.124358,12.0,1.9093102,1.7705047,1.5838671,train
45,0.325083,3.2396233,10.0,1.9129386,1.7847459,1.5919266,test
46,1.748067,2.8902624,13.0,1.950888,1.8061749,1.6105453,train
47,0.639032,3.892527,11.0,1.8934045,1.770363,1.5388942,train
48,0.325083,2.6920342,17.0,1.9512118,1.7949013,1.5634385,test
49,1.227529,2.0387888,15.0,1.8972772,1.7659979,1.5539542,train
50,2.302585,2.5894177,12.0,1.9230856,1.7977175,1.6052456,train
51,2.302585,2.9078608,22.0,1.9308838,1.7822875,1.5489874,test
52,2.163956,3.8029401,11.0,1.9052448,1.7729492,1.5732198,train
53,-0.0,4.1224723,9.0,1.9156452,1.7761987,1.5238065,train
54,0.325083,2.6075826,15.0,1.9226927,1.7932504,1.6028267,train
55,0.500402,3.3610659,11.0,1.9265394,1.7736471,1.5002499,test
56,2.025326,3.1699066,10.0,1.9343601,1.7798923,1.5358019,test
57,1.227529,3.3794937,9.0,1.9062476,1.7768633,1.5473232,train
58,0.325083,2.6150188,10.0,1.9013109,1.7791979,1.544268,train
59,2.163956,3.9669724,12.0,1.9004277,1.763981,1.5528202,test
60,0.639032,3.416092,10.0,1.9101576,1.7705975,1.592522,test
61,1.359237,2.2497504,13.0,1.913897,1.7723076,1.6168782,test
